id,title,year,rating,category,cast,director,summary,poster,created_at,updated_at
942,DreamWorks How to Train Your Dragon Legends,2011,4,Children & Family Movies,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Christopher Mintz-Plasse, Jonah Hill, T.J. Miller, Kristen Wiig, Jim Cummings, Tress MacNeille","","In this set of shorts, Hiccup and the gang learn about different species of dragons and what they can do. Then, Gobber goes in search of the Boneknapper Dragon, convinced he's responsible for burning down his house.",http://netflixroulette.net/api/posters/70242629.jpg,2016-05-02 20:45:01 UTC,2016-05-02 20:45:01 UTC
943,Saturday Night Live: The 2010s,2010,3,TV Shows,"Kristen Wiig, Andy Samberg, Jason Sudeikis, Seth Meyers, Fred Armisen, Bill Hader, Bobby Moynihan, Kenan Thompson, Abby Elliott","","New decade, new outrageous laughs. ""SNL"" propels toward the future with sketches and skits featuring favorite cast members such as Fred Armisen, Seth Meyers, Andy Samberg, Jason Sudeikis and Kristen Wiig.",http://netflixroulette.net/api/posters/70178612.jpg,2016-05-02 20:45:01 UTC,2016-05-02 20:45:01 UTC
944,Girl Most Likely,2012,3,Comedies,"Kristen Wiig, Annette Bening, Matt Dillon, Darren Criss, Christopher Fitzgerald, June Diane Raphael, Natasha Lyonne, Bob Balaban","Robert Pulcini, Shari Springer Berman","After staging an unsuccessful suicide to get her boyfriend's attention, a struggling playwright moves back home to live with her mother and two men.",http://netflixroulette.net/api/posters/70259080.jpg,2016-05-02 20:45:01 UTC,2016-05-02 20:45:01 UTC
945,Anchorman 2: The Legend Continues (Super-Sized Version),2014,3,Comedies,"Will Ferrell, Steve Carell, Paul Rudd, David Koechner, Christina Applegate, Dylan Baker, Meagan Good, Judah Nelson, James Marsden, Greg Kinnear, Josh Lawson, Kristen Wiig, Fred Willard, Chris Parnell, Harrison Ford",Adam McKay,Ron Burgundy reassembles the news team and faces a new rival in this extended version of the hit sequel featuring an over-the-top musical number.,http://netflixroulette.net/api/posters/80010405.jpg,2016-05-02 20:45:01 UTC,2016-05-02 20:45:01 UTC
946,Anchorman 2: The Legend Continues,2013,3,Comedies,"Will Ferrell, Steve Carell, Paul Rudd, David Koechner, Christina Applegate, Dylan Baker, Meagan Good, James Marsden, Fred Willard, Kristen Wiig",Adam McKay,"The '70s are over, and the anachronistic Channel 4 news team tries to stay classy as they reassemble to join New York's first 24-hour news channel.",http://netflixroulette.net/api/posters/70283197.jpg,2016-05-02 20:45:01 UTC,2016-05-02 20:45:01 UTC
947,Miss Firecracker,1989,3,Comedies,"Holly Hunter, Mary Steenburgen, Tim Robbins, Alfre Woodard, Scott Glenn, Veanne Cox, Ann Wedgeworth, Trey Wilson, Amy Wright, Christine Lahti",Thomas Schlamme,"Carnelle, an oversexed hellion who was orphaned as a child, has always played second fiddle to her beautiful Southern belle cousin who's a past Miss Firecracker contest winner. But Carnelle's ready to turn the tables.",http://netflixroulette.net/api/posters/60037631.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
948,Back to 1942,2012,3,Dramas,"Adrien Brody, Tim Robbins, Daoming Chen, Fan Xu, Hanyu Zhang, Alec Su, Guoli Zhang, Wei Fan, Li Xuejian",Xiaogang Feng,"At the height of World War II, millions of rural Chinese refugees embark on a desperate journey to escape a widespread provincial famine. Fraught with danger, their trek soon begins to erode the invisible lines separating cultures and classes.",http://netflixroulette.net/api/posters/70263888.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
949,Revenge of the Electric Car,2011,3,Documentaries,"Tim Robbins, Bob Lutz, Elon Musk, Reverend Gadget, Carlos Ghosn",Chris Paine,"In Revenge of the Electric Car, director Chris Paine takes his film crew behind the closed doors of Nissan, GM and the Silicon Valley start-up Tesla Motors to chronicle the story of the global resurgence of electric cars.",http://netflixroulette.net/api/posters/70184161.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
950,I.Q.,1994,3,Comedies,"Tim Robbins, Meg Ryan, Walter Matthau, Lou Jacobi, Gene Saks, Joseph Maher, Stephen Fry, Tony Shalhoub, Frank Whaley, Keene Curtis",Fred Schepisi,"When Albert Einstein's cerebral niece piques the interest of an auto mechanic, Einstein devises a plan to bring the two divergent minds together.",http://netflixroulette.net/api/posters/60029937.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
951,Gore Vidal: The United States of Amnesia,2013,3,Documentaries,"Gore Vidal, Tim Robbins, Sting, David Mamet, Christopher Hitchens, Dick Cavett, Norman Mailer, Mikhail Gorbachev, Tom Ford, Stephen Fry",Nicholas D. Wrathall,"With interviews and footage from his television appearances, this documentary chronicles the life and career of outspoken writer Gore Vidal.",http://netflixroulette.net/api/posters/70274597.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
952,Thanks for Sharing,2012,3,Romantic Movies,"Mark Ruffalo, Tim Robbins, Gwyneth Paltrow, Josh Gad, Joely Richardson, Pink, Patrick Fugit, Carol Kane, Emily Meade, Isiah Whitlock Jr.",Stuart Blumberg,"While making his way through a support group for sex addicts, Adam dips his toe in the dating pool to embrace a meaningful relationship.",http://netflixroulette.net/api/posters/70259082.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
953,Mystic River,2003,3,Thrillers,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Spencer Treat Clark",Clint Eastwood,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",http://netflixroulette.net/api/posters/60031232.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
954,Escape from Planet Earth,2013,3,Children & Family Movies,"Brendan Fraser, Sarah Jessica Parker, Jessica Alba, Jane Lynch, Craig Robinson, William Shatner, Sofía Vergara, Rob Corddry, Ricky Gervais, Jonathan Morgan Heit",Callan Brunker,"This all-ages animated comedy follows the adventures of astronaut Scorch Supernova, a hero of the blue aliens who has a vast appetite for adventure. Ignoring his brother's warning, Scorch sets off on a deep-space rescue that proves to be a trap.",http://netflixroulette.net/api/posters/70244165.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
955,Spy Kids: All the Time in the World,2011,3,Children & Family Movies,"Jessica Alba, Joel McHale, Rowan Blanchard, Mason Cook, Jeremy Piven, Alexa Vega, Daryl Sabara, Danny Trejo",Robert Rodriguez,"Former Spy Kids Carmen and Juni Cortez return as teenagers to help 10-year-old twin siblings Rebecca and Cecil Wilson save the world with their stepmother, a retired secret agent who's been called back into service to stop a conniving smuggler.",http://netflixroulette.net/api/posters/70176656.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
956,An Invisible Sign,2010,3,Dramas,"Jessica Alba, Chris Messina, Sonia Braga, John Shea, J.K. Simmons, Sophie Nyweide, Bailee Madison, Blythe Auffarth, Ashlie Atkinson, Emerald-Angel Young",Marilyn Agrelo,"When a puzzling disease devastates her beloved father, math prodigy Mona Gray deals with the pain by isolating herself from the rest of the world and turning for comfort to the reliable world of mathematics. But when she later teaches math to troubled grade school kids, Mona discovers that her gift can be a route back from her long emotional exile. Marilyn Agrelo directs and Jessica Alba stars in this adaptation of the book by Aimee Bender.",http://netflixroulette.net/api/posters/70122326.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
957,Paranoid,2000,2,Thrillers,"Jessica Alba, Iain Glen, Jeanne Tripplehorn, Ewen Bremner, Mischa Barton, Kevin Whately, Oliver Milburn, Gary Love, Amy Phillips, David Fahm",John Duigan,"Fashion model Chloe and her boyfriend are invited to a party hosted by Stan, a former rock star. When Chloe wakes up the next day, her boyfriend is gone, and she's handcuffed to the bed. But things only get worse from there.",http://netflixroulette.net/api/posters/70016034.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
958,Stretch,2014,3,Comedies,"Patrick Wilson, Ed Helms, James Badge Dale, Brooklyn Decker, Jessica Alba, Norman Reedus, Chris Pine, Ray Liotta",Joe Carnahan,Limo jockey Stretch has no idea what's in store for him when his gambling debt compels him to take on a job driving an eccentric billionaire.,http://netflixroulette.net/api/posters/70294664.jpg,2016-05-02 20:45:02 UTC,2016-05-02 20:45:02 UTC
959,Forrest Gump,1994,4,Dramas,"Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field, Rebecca Williams, Haley Joel Osment, Sam Anderson, Geoffrey Blake, Michael Conner Humphreys",Robert Zemeckis,"Forrest Gump, a friendly, simpleminded man, finds himself in the middle of nearly every major event of the 1960s and '70s.",http://netflixroulette.net/api/posters/60000724.jpg,2016-05-02 20:45:03 UTC,2016-05-02 20:45:03 UTC
975,Breaking at the Edge,2013,3,Thrillers,"Rebecca Da Costa, Milo Ventimiglia, Andie MacDowell, Jonathan Schaech, Logan Browning, Brianne Davis",Predrag Antonijevic,A pregnant woman faces complications when strange events make her question whether she is losing her mind or if supernatural forces threaten her baby.,http://netflixroulette.net/api/posters/80008747.jpg,2016-05-02 20:45:05 UTC,2016-05-02 20:45:05 UTC
960,Edges of the Lord,2001,3,Dramas,"Haley Joel Osment, Willem Dafoe, Liam Hess, Richard Banel, Olaf Lubaszenko, Malgorzata Foremniak, Andrzej Grabowski, Chiril Vahonin",Yurek Bogayevicz,"Set in World War II Poland, this earnest drama stars Haley Joel Osment as Romek, a 12-year-old Jewish boy dispatched to the countryside to live with a family of Catholic peasants in the hope of saving him from the Nazis. Passed off as a nephew whose parents have fallen ill, Romek is befriended by a parish priest (Willem Dafoe) who tutors him on Catholic catechism. But the horrors of war are never far away as Romek adapts to his new life.",http://netflixroulette.net/api/posters/70018905.jpg,2016-05-02 20:45:03 UTC,2016-05-02 20:45:03 UTC
961,Sassy Pants,2012,3,Comedies,"Anna Gunn, Ashley Rickards, Haley Joel Osment, Martin Spanjers, Jenny O'Hara, Diedrich Bader, Rene Rosado, Shanna Collins, Drew Droege, Aaron Perilo",Coley Sohn,"In this coming-of-age comedy, Bethany Pruitt has had it with her overprotective mother, so she decides to go live with her dad. That situation proves just as dysfunctional, but things start to look up when she learns about a local fashion institute.",http://netflixroulette.net/api/posters/70260118.jpg,2016-05-02 20:45:03 UTC,2016-05-02 20:45:03 UTC
962,Heartlands,2002,3,Dramas,"Michael Sheen, Mark Addy, Jim Carter, Celia Imrie, Ruth Jones, Phillipa Peak, Jane Robbins",Damien O'Donnell,"Believing he's leading a happy life, nebbish Colin Lawes (Michael Sheen) is shocked and upset to discover that his wife (Jane Robbins) -- who's been two-timing Colin with the flashy captain of his neighborhood darts team (Jim Carter) -- is leaving him. Hoping to win back the woman he loves, Colin jumps on his scooter and sets off in pursuit. But his eventful road trip soon has an unexpected transformative effect on him.",http://netflixroulette.net/api/posters/70002915.jpg,2016-05-02 20:45:03 UTC,2016-05-02 20:45:03 UTC
963,Timeline,2003,3,Action & Adventure,"Paul Walker, Gerard Butler, Frances O'Connor, Billy Connolly, Ethan Embry, Anna Friel, Marton Csokas, Michael Sheen, Lambert Wilson, Matt Craven",Richard Donner,"In the near future, when a technology corporation has created a method for traveling into the past, a history professor gets trapped in 1357 France, prompting his students and son to travel back in time and face untold perils to rescue him.",http://netflixroulette.net/api/posters/60031270.jpg,2016-05-02 20:45:03 UTC,2016-05-02 20:45:03 UTC
964,Tinker Bell and the Great Fairy Rescue,2010,3,Children & Family Movies,"Lucy Liu, Mae Whitman, Michael Sheen, Kristin Chenoweth, Pamela Adlon, Jesse McCartney, Raven-Symoné, Jeff Bennett, Rob Paulsen, Faith Prince",Bradley Raymond,"When a clever young girl traps Tinker Bell and holds her captive, the other magical fairies must launch a daring rescue mission to set her free. But as Tink anxiously waits for her friends to arrive, she unexpectedly befriends her captor.",http://netflixroulette.net/api/posters/70137735.jpg,2016-05-02 20:45:03 UTC,2016-05-02 20:45:03 UTC
965,Jesus Henry Christ,2011,3,Comedies,"Toni Collette, Michael Sheen, Jason Spevack, Samantha Weinstein, Frank Moore, Kate Hewlett, Aaron Abrams, Dewshane Williams, Paul Braunstein, Mark Caven",Dennis Lee,"Too-smart-for-his-own-good 10-year-old Henry James Herman sets out to locate his father, an anonymous sperm donor, in this quirky comedy. Along the way, Henry uncovers family secrets that only deepen his existential quandary.",http://netflixroulette.net/api/posters/70184140.jpg,2016-05-02 20:45:03 UTC,2016-05-02 20:45:03 UTC
966,The Adventurer: The Curse of the Midas Box,2014,3,Children & Family Movies,"Aneurin Barnard, Michael Sheen, Sam Neill, Ioan Gruffudd, Keeley Hawes, Xavier Atkins, Lena Headey, Mella Carron, Vincenzo Pellegrino, Brian Nickels",Jonathan Newman,"Based on G.P. Taylor's steam-punk tale, this Victorian-era thriller follows Mariah Mundi's journey into darkness to rescue his kidnapped brother.",http://netflixroulette.net/api/posters/70297088.jpg,2016-05-02 20:45:03 UTC,2016-05-02 20:45:03 UTC
967,Superstar,1999,3,Comedies,"Molly Shannon, Will Ferrell, Elaine Hendrix, Harland Williams, Mark McKinney, Glynis Johns, Jason Blicker, Gerry Bamman, Jennifer Irwin, Tom Green",Bruce McCulloch,"Reprising her popular ""Saturday Night Live"" role as Irish-Catholic schoolgirl and proto-nerd Mary Katherine Gallagher, Molly Shannon stars as the ugly duckling who resolves to attain her twin dreams of fame and kissing the class stud.",http://netflixroulette.net/api/posters/28631236.jpg,2016-05-02 20:45:04 UTC,2016-05-02 20:45:04 UTC
968,Zoolander,2001,3,Comedies,"Ben Stiller, Owen Wilson, Christine Taylor, Will Ferrell, Milla Jovovich, Jerry Stiller, David Duchovny, Jon Voight, Judah Friedlander, Nathan Lee Graham",Ben Stiller,The fashion world is turned upside down when beautiful and utterly empty-headed male model Derek Zoolander discovers that fashion mogul Jacobim Mogatu is behind a plot to assassinate the prime minister of Malaysia.,http://netflixroulette.net/api/posters/60021242.jpg,2016-05-02 20:45:04 UTC,2016-05-02 20:45:04 UTC
969,Casa de mi Padre,2012,2,Action & Adventure,"Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez",Matt Piedmont,"Will Ferrell stars as a Spanish-speaking cowboy in this comedy about a Mexican clan trying to rescue their ranch from greedy creditors. When his brother can't save the day, the simple but noble ranch hand takes on a powerful drug lord.",http://netflixroulette.net/api/posters/70213466.jpg,2016-05-02 20:45:04 UTC,2016-05-02 20:45:04 UTC
970,DreamWorks Spooky Stories: Volume 2,2011,3,Children & Family Movies,"Seth Rogen, Kiefer Sutherland, Will Arnett, Hugh Laurie, Will Ferrell, David Cross, Sean Bishop, Cody Cameron, Aron Warner","","The Shrek characters parody Michael Jackson's epic music video ""Thriller""; B.O.B., Doc and The Missing Link band together on Halloween to save their town from zombie carrots; and Megamind must save the city after someone presses the Button of Doom.",http://netflixroulette.net/api/posters/70258566.jpg,2016-05-02 20:45:04 UTC,2016-05-02 20:45:04 UTC
971,Tim & Eric's Billion Dollar Movie,2012,3,Comedies,"Tim Heidecker, Eric Wareheim, Will Ferrell, John C. Reilly, Zach Galifianakis, Will Forte, Jeff Goldblum, Twink Caplan, Robert Loggia, William Atherton","Tim Heidecker, Eric Wareheim","All-star cameos spice up the comedy chaos in the movie debut of ""Adult Swim"" favorites Tim Heidecker and Eric Wareheim, who portray two numbskulls revamping a decrepit mall to repay the billion dollars they wasted while preparing their first film.",http://netflixroulette.net/api/posters/70226294.jpg,2016-05-02 20:45:04 UTC,2016-05-02 20:45:04 UTC
972,Jay and Silent Bob Strike Back,2001,3,Comedies,"Jason Mewes, Kevin Smith, Ben Affleck, Jeff Anderson, Brian O'Halloran, Shannon Elizabeth, Eliza Dushku, Ali Larter, Jennifer Schwalbach Smith, Will Ferrell, Jason Lee, Judd Nelson, George Carlin, Carrie Fisher, Seann William Scott",Kevin Smith,"Jay and Silent Bob's comic book alter egos have been sold to Hollywood without permission, so they head to Tinseltown to sabotage the production.",http://netflixroulette.net/api/posters/60004476.jpg,2016-05-02 20:45:04 UTC,2016-05-02 20:45:04 UTC
973,The Ladies Man,2000,3,Comedies,"Tim Meadows, Karyn Parsons, Billy Dee Williams, John Witherspoon, Jill Talley, Lee Evans, Will Ferrell, Sofia Milos, Eugene Levy, Kevin McDonald, Tamala Jones, Julianne Moore, Tiffani Thiessen, Mark McKinney, Chris Parnell",Reginald Hudlin,Master of seduction Leon Phelps crosses paths with an ex-paramour and a group of incensed hubbies who want to kill Phelps for bedding their spouses.,http://netflixroulette.net/api/posters/60002848.jpg,2016-05-02 20:45:04 UTC,2016-05-02 20:45:04 UTC
976,The Bag Man,2014,2,Thrillers,"John Cusack, Rebecca Da Costa, Robert De Niro, Crispin Glover, Dominic Purcell, Sticky Fingaz, Martin Klebba, David Shumbris",David Grovic,A hit man summoned to a motel deep in the bayou by an eccentric mob boss discovers that he's one of several professional killers present.,http://netflixroulette.net/api/posters/70298430.jpg,2016-05-02 20:45:05 UTC,2016-05-02 20:45:05 UTC
977,Fire with Fire,2012,3,Action & Adventure,"Josh Duhamel, Bruce Willis, Rosario Dawson, Vincent D'Onofrio, 50 Cent, Julian McMahon, Vinnie Jones, Arie Verveen, Eric Winter, Bonnie Somerville",David Barrett,"After witnessing a brutal murder, a firefighter is placed in the witness protection program. But when his new identity becomes compromised, he's forced to take an unexpected course of action to get his life back and save the lives of those he loves.",http://netflixroulette.net/api/posters/70245670.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
978,The Search for Santa Paws,2010,3,Children & Family Movies,"Zachary Gordon, Mitchel Musso, G. Hannelius, Madison Pettis, Richard Kind, Bonnie Somerville, Richard Riehle, Wendi McLendon-Covey, Josh Flitter, Jonathan Morgan Heit",Robert Vince,"In this prequel to Disney's holiday hit Santa Buddies, Santa Claus and puppy Paws become best friends as they team up to spread the spirit of Christmas in New York City. But when Santa's memory fades, it's Paws who must save the holiday.",http://netflixroulette.net/api/posters/70148800.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
979,The Best and the Brightest,2011,3,Comedies,"Neil Patrick Harris, Bonnie Somerville, Amy Sedaris, Peter Serafinowicz, Christopher McDonald, Kate Mulgrew, Kelly Coffield, Steve Park, Jenna Stern, Bridget Regan",Josh Shelov,"New arrivals Jeff and Samantha are determined to get their 5-year-old daughter into New York City's most elite private kindergarten. But there's only one opening left, and the couple is about to find out just how cutthroat the competition is.",http://netflixroulette.net/api/posters/70127020.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
980,Holiday Engagement,2011,3,Comedies,"Bonnie Somerville, Shelley Long, Jordan Bridges, Sam McMurrary, Haylie Duff, Sam Horrigan, Carrie Wiita, Chris McKenna, Edi Patterson, Jennifer Elise Cox",Jim Fall,Hilary's plan to hire a good-looking guy to act as her boyfriend backfires when she brings him home for the holidays to try and fool her family. The joke ends up being on her when the fauxmance invites real complications.,http://netflixroulette.net/api/posters/70209267.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
981,Cashmere Mafia,2008,3,TV Shows,"Lucy Liu, Frances O'Connor, Miranda Otto, Bonnie Somerville, Peter Hermann, Julian Ovenden","","Four successful female executives -- best friends since their college days -- support and keep one another in check as each struggles with office politics, romantic woes, motherhood and the pressures of life in Manhattan.",http://netflixroulette.net/api/posters/70202743.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
982,Without a Paddle,2004,3,Action & Adventure,"Seth Green, Matthew Lillard, Dax Shepard, Ethan Suplee, Abraham Benrubi, Rachel Blanchard, Burt Reynolds, Christina Moore, Bonnie Somerville, Ray Baker",Steven Brill,"After their friend Billy dies, three pals search for some of famed airline hijacker D.B. Cooper's lost money, which Billy had hoped to find.",http://netflixroulette.net/api/posters/60034562.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
983,Frankenstein's Army,2013,2,Sci-Fi & Fantasy,"Karel Roden, Alexander Mercury, Joshua Sasse, Luke Newberry, Andrei Zayats, Mark Stevenson, Hon Ping Tang, Cristina Catalina, Robert Gwilym, Jan de Lukowicz",Richard Raaphorst,Russian troops pushing into Germany discover that the Nazis have created monstrous new soldiers pieced together from body parts of the dead.,http://netflixroulette.net/api/posters/70273616.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
984,Bulletproof Monk,2003,3,Action & Adventure,"Yun-Fat Chow, Seann William Scott, Jamie King, Karel Roden, Victoria Smurfit, Marcus J. Pirae, Mako, Roger Yuan",Paul Hunter,"A mysterious and immortal Tibetan kung fu master who has spent the last 60 years traveling around the world protecting the ancient Scroll of the Ultimate, mentors a selfish street kid in the ancient intricacies of kung fu.",http://netflixroulette.net/api/posters/60027590.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
985,A Lonely Place to Die,2011,3,Action & Adventure,"Melissa George, Karel Roden, Ed Speleers, Eamonn Walker, Sean Harris, Kate Magowan, Alec Newman, Stephen McCole, Garry Sweeney, Paul Anderson",Julian Gilbey,"Five mountaineering friends on vacation in the Scottish Highlands stumble upon a tiny chamber in the woods, in which a young Serbian girl is trapped. But when they free her and try to take her to safety, they become the kidnappers' next targets.",http://netflixroulette.net/api/posters/70224979.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
986,The Heir Apparent: Largo Winch,2008,3,Action & Adventure,"Tomer Sisley, Kristin Scott Thomas, Miki Manojlovic, Mélanie Thierry, Gilbert Melki, Karel Roden, Steven Waddington, Anne Consigny, Radivoje Bukvic, Wolfgang Pissors",Jérôme Salle,"When a billionaire suddenly dies, his corporation passes to his free-spirited son, Largo, who's languishing in a South American jail on phony charges. Now Largo must battle corrupt cops, corporate raiders and his own ambivalence about his new wealth.",http://netflixroulette.net/api/posters/70118175.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
987,Mr. Bean's Holiday,2007,3,Comedies,"Rowan Atkinson, Emma de Caunes, Max Baldry, Willem Dafoe, Jean Rochefort, Karel Roden, Steve Pemberton, Clint Dyer",Steve Bendelack,"The hapless Mr. Bean takes a vacation on the French Riviera, where he becomes ensnared in an accidental kidnapping, discovers romance with a lovely actress at the Cannes Film Festival and manages to give a pompous movie director his comeuppance.",http://netflixroulette.net/api/posters/70060002.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
988,Cat Run,2011,3,Action & Adventure,"Paz Vega, Janet McTeer, Alphonso McAuley, Scott Mechlowicz, Christopher McDonald, Karel Roden, D.L. Hughley, Tony Curran, Michelle Lombardo",John Stockwell,A pair of private dicks find themselves caught up in a suspected government conspiracy when they take on an uncommon case: helping a high-class call girl fight off a sexy assassin who's already torn her pimp to pieces.,http://netflixroulette.net/api/posters/70136070.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
989,Bathory,2008,3,Dramas,"Anna Friel, Karel Roden, Vincent Regan, Hans Matheson, Deana Horváthová, Franco Nero, Antony Byrne, Bolek Polivka, Jirí Mádl, Monika Hilmerova",Juraj Jakubisko,"While her husband is off battling the Turks, 16th-century countess Erzsébet Bathory fights to protect her family and her land, woos the Italian artist Caravaggio and endures vicious rumors that she bathes in the blood of virgins.",http://netflixroulette.net/api/posters/70124593.jpg,2016-05-02 20:45:07 UTC,2016-05-02 20:45:07 UTC
990,The English Patient,1996,3,Dramas,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas, Naveen Andrews, Colin Firth, Julian Wadham, Jürgen Prochnow, Kevin Whately, Clive Merrison",Anthony Minghella,Ralph Fiennes stars as a horribly burned pilot who recounts a tale of doomed romance to the nurse tending to him in this World War II-era drama.,http://netflixroulette.net/api/posters/477351.jpg,2016-05-02 20:45:10 UTC,2016-05-02 20:45:10 UTC
991,In Bruges,2008,3,Action & Adventure,"Colin Farrell, Brendan Gleeson, Ralph Fiennes, Clémence Poésy, Jérémie Renier, Thekla Reuten, Jordan Prentice, Zeljko Ivanek, Theo Stevenson",Martin McDonagh,"After a job goes tragically wrong in London, hit men Ray and Ken are ordered to lay low at a bed-and-breakfast in Bruges, Belgium, until their boss phones with further instructions. But when he calls, Ken doesn't like the assignment.",http://netflixroulette.net/api/posters/70083111.jpg,2016-05-02 20:45:10 UTC,2016-05-02 20:45:10 UTC
992,Masterpiece Contemporary: Page Eight,2011,3,Dramas,"Bill Nighy, Rachel Weisz, Michael Gambon, Judy Davis, Felicity Jones, Tom Hughes, Saskia Reeves, Ewen Bremner, Ralph Fiennes, Alice Krige",David Hare,"Silky-smooth veteran MI5 agent Johnny Worricker is wholly dedicated to his work, but his loyalty to the British spy agency is about to be tested. A top secret document surfaces that reveals heinous government misdeeds -- and puts Johnny on the spot.",http://netflixroulette.net/api/posters/70209135.jpg,2016-05-02 20:45:10 UTC,2016-05-02 20:45:10 UTC
993,Maid in Manhattan,2002,3,Comedies,"Jennifer Lopez, Ralph Fiennes, Natasha Richardson, Stanley Tucci, Tyler Posey, Frances Conroy, Chris Eigeman, Amy Sedaris, Marissa Matrone, Priscilla Lopez",Wayne Wang,"It's love at first sight when Marisa Ventura and fast-rising politician Christopher Marshall literally run into each other at a posh New York City hotel. The only problem? Christopher has mistaken Marisa for a guest, but she's one of the maids.",http://netflixroulette.net/api/posters/60024936.jpg,2016-05-02 20:45:10 UTC,2016-05-02 20:45:10 UTC
994,The Constant Gardener,2005,3,Oscar-winning Movies,"Ralph Fiennes, Rachel Weisz, Hubert Koundé, Danny Huston, Daniele Harford, Packson Ngugi, Damaris Itenyo Agweyu, Bernard Otieno Oduor, Bill Nighy, Keith Pearson",Fernando Meirelles,"Justin Quayle, a member of the British High Commission based in Africa, launches a quest for the truth and begins his own international investigation when his wife is murdered. But he uncovers a conspiracy more dangerous than he could have imagined.",http://netflixroulette.net/api/posters/70034486.jpg,2016-05-02 20:45:10 UTC,2016-05-02 20:45:10 UTC
995,Imaginary Witness: Hollywood and the Holocaust,2004,3,Documentaries,"Dan Curtis, Sidney Lumet, Gene Hackman, Steven Spielberg, Ralph Fiennes, Ben Kingsley, Liam Neeson, Rod Steiger",Daniel Anker,"Filmmaker Daniel Anker examines Hollywood's depiction of the Holocaust and its incomprehensible atrocities in this award-winning documentary narrated by Gene Hackman and featuring interviews with Steven Spielberg and Sidney Lumet. Through film clips, newsreels, scholars' comments and firsthand accounts, the documentary also questions the responsibility of filmmakers in retelling history and the effects of film portrayals on the social psyche.",http://netflixroulette.net/api/posters/70082394.jpg,2016-05-02 20:45:10 UTC,2016-05-02 20:45:10 UTC
996,Great Expectations,2012,3,Dramas,"Jeremy Irvine, Helena Bonham Carter, Ralph Fiennes, Holliday Grainger, Robbie Coltrane, Ewen Bremner, Jason Flemyng, David Walliams, Sally Hawkins, Olly Alexander",Mike Newell,Fate -- with a little help from a mysterious unnamed benefactor -- whisks young orphan Pip from poverty to a life of unexpected wealth.,http://netflixroulette.net/api/posters/70259256.jpg,2016-05-02 20:45:10 UTC,2016-05-02 20:45:10 UTC
997,The Duchess,2008,3,Romantic Movies,"Keira Knightley, Ralph Fiennes, Charlotte Rampling, Dominic Cooper, Hayley Atwell, Simon McBurney, Aidan McArdle, John Shrapnel, Alistair Petrie, Patrick Godfrey",Saul Dibb,"To compensate for her unhappy marriage, young duchess Georgiana Spencer begins a scandalous affair with politician Charles Grey.",http://netflixroulette.net/api/posters/70099610.jpg,2016-05-02 20:45:10 UTC,2016-05-02 20:45:10 UTC
