id,title,year,rating,category,cast,director,summary,poster,created_at,updated_at
328,The Long Walk Home,1990,4,Dramas,"Sissy Spacek, Whoopi Goldberg, Dwight Schultz, Ving Rhames, Dylan Baker, Erika Alexander, Lexi Randall, Richard Habersham, Chelcie Ross, Dan Butler",Richard Pearce,"Sissy Spacek stars as Miriam Thompson, a Montgomery, Ala., housewife who finds herself in the midst of a civil rights revolution when she helps her black maid, Odessa (Whoopi Goldberg), during the infamous bus boycott of the 1950s. When Miriam discovers Odessa is forced to walk the 9 miles to her house and back, she volunteers to give Odessa a ride -- much to the dismay of Miriam's husband and social circle.",http://netflixroulette.net/api/posters/60025163.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
329,Sarafina!,1992,3,Dramas,"Leleti Khumalo, Whoopi Goldberg, Miriam Makeba, John Kani, Dumisani Dlamini, Mbongeni Ngema, Sipho Kunene, Tertius Meintjes, Robert Whitehead, Somizi Mhlongo",Darrell Roodt,"Catch this inspirational story about a girl battling the oppression of apartheid in South Africa. Schoolgirl Sarafina (Leleti Khumalo) lives in Soweto. Her mother lives in Johannesburg, where she works for a white family. Missing her mother, Sarafina puts her energy into fighting for freedom. When police shoot and kill protesting students supporting their teacher (Whoopi Goldberg), Sarafina is arrested as a demonstrator and faces prison and torture.",http://netflixroulette.net/api/posters/60023158.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
330,Soapdish,1991,3,Comedies,"Sally Field, Kevin Kline, Robert Downey Jr., Cathy Moriarty, Elisabeth Shue, Whoopi Goldberg, Teri Hatcher, Garry Marshall, Kathy Najimy, Arne Nannestad",Michael Hoffman,"Soap opera star Celeste Talbert gets desperate when she finds out that her rival, Montana Moorehead, has been trying to get producer David Barnes to write her off the show. And since Barnes has eyes for Montana, Celeste must scramble to keep her job.",http://netflixroulette.net/api/posters/60022663.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
331,Ghost,1990,3,Oscar-winning Movies,"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn, Susan Breslau, Martina Degnan, Rick Aviles, Vincent Schiavelli, Angelina Estrada, Phil Leeds",Jerry Zucker,"Gothamites Sam and Molly see their romance shattered when a street thug kills Sam during a mugging. But love endures beyond the grave when a spectral Sam learns that Molly is in danger, and he must find a way to warn her before she suffers his fate.",http://netflixroulette.net/api/posters/60010395.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
332,Get Bruce!,1999,3,Comedies,"Bruce Vilanch, Robin Williams, Bette Midler, Nathan Lane, Whoopi Goldberg, Lily Tomlin, Raquel Welch, Shirley MacLaine, Florence Henderson, Steven Seagal",Andrew J. Kuehn,"This documentary delves into the life and work of comedy writer Bruce Vilanch, a behind-the-scenes Hollywood legend. Vilanch has written for the Oscar, Emmy, Tony and Grammy awards shows, as well as one-liners for Bette Midler and Whoopi Goldberg.",http://netflixroulette.net/api/posters/60032951.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
333,Mia and the Migoo,2008,3,Children & Family Movies,"James Woods, Matthew Modine, Whoopi Goldberg",Jacques-Rémy Girerd,"When a construction accident traps her father near a remote lake, Mia journeys through the jungle to rescue him in this animated feature. There, she encounters the Migou, fantastic beings who protect a sacred tree that safeguards all life on Earth.",http://netflixroulette.net/api/posters/70109151.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
334,Monkeybone,2001,3,Action & Adventure,"Brendan Fraser, Bridget Fonda, John Turturro, Chris Kattan, Giancarlo Esposito, Rose McGowan, Dave Foley, Megan Mullally, Whoopi Goldberg, Shawnee Free Jones",Henry Selick,"Cartoonist Stu Miley finds success with his raucous creation, a troublemaking simian named Monkeybone. But after a car accident puts Stu in a coma, he finds himself face-to-face with Monkeybone in a freakish netherworld called Downtown.",http://netflixroulette.net/api/posters/60001136.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
335,Being Elmo: A Puppeteer's Journey,2011,4,Documentaries,"Kevin Clash, Whoopi Goldberg",Constance Marks,"Beloved by millions of children, Elmo is an international icon. But few people know the soft-spoken man behind the furry red monster: Kevin Clash. Narrated by Whoopi Goldberg, this documentary follows Clash's remarkable career as a puppeteer.",http://netflixroulette.net/api/posters/70166234.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
336,The Little Engine That Could,2011,3,Children & Family Movies,"Corbin Bleu, Jamie Lee Curtis, Whoopi Goldberg, Dominic Scott Kay, Brenda Song, Alyson Stoner, Patrick Warburton, Jeff Bennett",Elliot M. Bour,"A timeless children's classic comes roaring to life in this star-studded animated tale of a train who overcomes every obstacle by repeating the words ""I think I can, I think I can."" Along the way, he climbs new heights and finds new friends.",http://netflixroulette.net/api/posters/70166309.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
337,Pee-wee's Playhouse: Christmas Special,1988,4,TV Shows,"Paul Reubens, Annette Funicello, Frankie Avalon, Grace Jones, k.d. lang, Dinah Shore, Little Richard, Cher, Eadie del Rubio, Magic Johnson, Elena del Rubio, Zsa Zsa Gabor, Milly del Rubio, Whoopi Goldberg, Oprah Winfrey, Joan Rivers","Paul Reubens, Wayne Orr","Amid an avalanche of stars, Pee-wee straps on his ice skates and glides into the holiday season with Christmas cards, carols ... and Charo.",http://netflixroulette.net/api/posters/80023921.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
338,Amistad,1997,3,Dramas,"Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou, Matthew McConaughey, David Paymer, Pete Postlethwaite, Stellan Skarsgård, Razaaq Adoti, Abu Bakaar Fofanah",Steven Spielberg,Steven Spielberg directed this story about the 1839 revolt aboard Spanish slave ship La Amistad and the uprising's tragic aftermath.,http://netflixroulette.net/api/posters/1181506.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
339,Tarzan,1999,3,Children & Family Movies,"Tony Goldwyn, Minnie Driver, Glenn Close, Brian Blessed, Nigel Hawthorne, Rosie O'Donnell, Lance Henriksen, Wayne Knight","Chris Buck, Kevin Lima","After being shipwrecked off the African coast, a lone child grows up in the wild, and is destined to become lord of the jungle.",http://netflixroulette.net/api/posters/26009364.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
340,Madeline,1998,3,Children & Family Movies,"Frances McDormand, Nigel Hawthorne, Hatty Jones, Ben Daniels, Arturo Venegas, Stéphane Audran, Katia Caballero, Chantal Neuwirth, Kristian de la Osa, Clare Thomas",Daisy Von Scherler Mayer,"To save her boarding school from the real estate market, a mischievous French girl uses her wits to discourage prospective buyers.",http://netflixroulette.net/api/posters/16915153.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
341,Babysitters Beware,2009,3,Children & Family Movies,"Trenton Rogers, Rico Rodriguez, Chris Cleveland, Brittany Renee Finamore, Kate Orsini, Taylor Negron, Luis Anthony, Danny Trejo, Dee Wallace, Mercedes Colon",Douglas Horn,"Danny Parker (Trenton Rogers) is sick of being stuck with baby-sitters while his mom and dad, Wendy (Kate Orsini) and Jim (Chris Cleveland), go off to meetings, so when he finds out about the ""no-sit"" list of kids no one wants to look after, he's determined to join. In this family comedy, Parker doesn't have a bad bone in him, but with tips from his pal, Marco (Rico Rodriguez), and lots of practice, the model son turns into a perfect terror.",http://netflixroulette.net/api/posters/70160352.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
342,Maximum Overdrive,1986,3,Cult Movies,"Emilio Estevez, Pat Hingle, Laura Harrington, Yeardley Smith, John Short, Ellen McElduff, J.C. Quinn, Christopher Murney, Frankie Faison, Holter Graham",Stephen King,"When a mysterious comet passes close to Earth, machines everywhere take on murderous minds of their own. But humans won't give up without a fight.",http://netflixroulette.net/api/posters/60024262.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
343,The Thomas Crown Affair,1999,3,Dramas,"Pierce Brosnan, Rene Russo, Denis Leary, Ben Gazzara, Frankie Faison, Fritz Weaver, Charles Keating, Mark Margolis, Faye Dunaway, Michael Lombard",John McTiernan,"This remake of the 1968 classic showcases Pierce Brosnan as the titular billionaire who, for kicks, would rather steal works of art than buy them.",http://netflixroulette.net/api/posters/22589663.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
344,The Silence of the Lambs,1991,4,Oscar-winning Movies,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Diane Baker, Kasi Lemmons, Frankie Faison",Jonathan Demme,"In this adaptation of Thomas Harris's novel, FBI trainee Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, hoping the psychiatrist turned homicidal cannibal can help her catch a serial killer.",http://netflixroulette.net/api/posters/14546747.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
345,Albino Alligator,1996,3,Dramas,"Matt Dillon, Faye Dunaway, Gary Sinise, William Fichtner, Viggo Mortensen, John Spencer, Skeet Ulrich, Frankie Faison, Melinda McGraw, M. Emmet Walsh",Kevin Spacey,"Kevin Spacey made his directing debut with this edgy crime drama about a trio of small-time hoods (Matt Dillon, Gary Sinise and William Fichtner) fleeing after a bungled robbery in New Orleans. They hole up in a basement bar, taking five people hostage while trying to determine their next move as the feds and a Special Weapons and Tactics team swarm outside. The great cast includes Faye Dunaway, Joe Mantegna and Viggo Mortensen.",http://netflixroulette.net/api/posters/239439.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
346,Coming to America,1988,3,Comedies,"Eddie Murphy, Arsenio Hall, James Earl Jones, John Amos, Madge Sinclair, Shari Headley, Paul Bates, Eriq La Salle, Frankie Faison, Vanessa Bell Calloway",John Landis,"Discontented with his pampered life, an African prince heads to America to find someone who will fall for him, not his riches. Joined by his trusty sidekick, the prince plunges into a job at a fast-food chain -- and romance with the boss's daughter.",http://netflixroulette.net/api/posters/391018.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
